year,Movie_Name,Budget,Contributors,Revenue
1990,Tales from the Darkside: The Movie,3500000 (est.),"['John Harrison', 'Deborah Harry', 'Christian Slater', 'David Johansen', 'William Hickey', 'James Remar', 'Rae Dawn Chong']",16324573
1990,Tremors,11,"['Ron Underwood', 'Kevin Bacon', 'Fred Ward', 'Finn Carter', 'Michael Gross', 'Reba McEntire']",48572000
1990,Gremlins 2: The New Batch,50,"['Joe Dante', 'Charles S. Haas', 'Zach Galligan', 'Phoebe Cates', 'John Glover', 'Robert Prosky', 'Robert Picardo', 'Christopher Lee']",41482207 (United States)
1990,Blood Oath,10,"['Stephen Wallace', 'Denis Whitburn', 'Brian A. Williams', 'Bryan Brown', 'George Takei', ""Terry O'Quinn""]",707194 (Australia)
1990,Loose Cannons,15,"['Bob Clark', 'Richard Christian Matheson', 'Richard Matheson', 'Gene Hackman', 'Dan Aykroyd', 'Dom DeLuise', 'Ronny Cox', 'Nancy Travis', 'Paul Koslo', ""Dick O'Neill"", 'Robert Prosky', 'Jan Triska', 'Leon Rippy']",5585154
1990,"Welcome Home, Roxy Carmichael",13,"['Jim Abrahams', 'Winona Ryder', 'Jeff Daniels']",3989297
1990,RoboCop 2,35,"['Irvin Kershner', 'Peter Weller', 'Nancy Allen', ""Dan O'Herlihy"", 'Belinda Bauer', 'Tom Noonan', 'Gabriel Damon']",45681173 (UnitedStates)
1990,Graveyard Shift,10.5,"['David Andrews', 'Stephen Macht', 'Brad Dourif']",11582891
1990,The Handmaid's Tale,13000000,"['Volker Schlndorff', 'Margaret Atwood', 'Harold Pinter', 'Natasha Richardson', 'Faye Dunaway', 'Robert Duvall', 'Aidan Quinn', 'Elizabeth McGovern']",4960385
1990,Kindergarten Cop,15,"['Ivan Reitman', 'Arnold Schwarzenegger', 'Penelope Ann Miller', 'Pamela Reed', 'Linda Hunt', 'Carroll Baker']",201957688
1990,Mo' Better Blues,10,"['Spike Lee', 'Denzel Washington', 'Wesley Snipes', 'Giancarlo Esposito', 'Robin Harris', 'Joie Lee', 'Bill Nunn', 'John Turturro', 'Dick Anthony Williams', 'Cynda Williams']",16153600 (USA) (sub-total)
1990,Darkman,16,"['Sam Raimi', 'Liam Neeson', 'Frances McDormand', 'Colin Friels', 'Larry Drake']",48878502
1990,Havana,40,"['Sydney Pollack', 'Judith Rascoe', 'David Rayfiel', 'Robert Redford', 'Lena Olin', 'Ral Juli', 'Alan Arkin']",9243140
1990,Where the Heart Is,22,"['John Boorman', 'Dabney Coleman', 'Suzy Amis', 'Uma Thurman', 'Crispin Glover', 'Joanna Cassidy', 'Christopher Plummer', 'David Hewlett']",1106475
1990,Flatliners,26,"['Joel Schumacher', 'Kiefer Sutherland', 'Julia Roberts', 'William Baldwin', 'Oliver Platt', 'Kevin Bacon']",141181969
1990,Miller's Crossing,14,"['Joel Coen\nEthan Coen', 'Gabriel Byrne', 'Marcia Gay Harden', 'John Turturro', 'Jon Polito', 'J. E. Freeman', 'Albert Finney']",5080409 (North America)
1990,The First Power,10000000 (estimated),"['Robert Resnikoff', 'Lou Diamond Phillips', 'Jeff Kober', 'Mykelti Williamson', 'Tracy Griffith', 'Dennis Lipscomb', 'Carmen Argenziano', 'Clayton Landey']",22424195 (USA)
1990,Almost an Angel,10.5,"['John Cornell', 'Paul Hogan', 'Paul Hogan', 'Elias Koteas', 'Linda Kozlowski']",6939946 (USA)
1990,"After Dark, My Sweet",6,"['James Foley', 'Jason Patric', 'Rachel Ward', 'Bruce Dern']",2678414
1990,Jacob's Ladder,25,"['Adrian Lyne', 'Tim Robbins', 'Elizabeth Pea', 'Danny Aiello', 'Matt Craven']",26118851
1990,Total Recall,5060,"['Paul Verhoeven', 'Arnold Schwarzenegger', 'Rachel Ticotin', 'Sharon Stone', 'Michael Ironside', 'Ronny Cox']",261.3
1990,Wild at Heart,10,"['David Lynch', 'Nicolas Cage', 'Laura Dern', 'Willem Dafoe', 'Crispin Glover', 'Diane Ladd', 'Isabella Rossellini', 'Harry Dean Stanton']",14560247
1990,The Godfather Part III,54,"['Francis Ford Coppola', 'Mario Puzo', 'Al Pacino', 'Diane Keaton', 'Talia Shire', 'Andy Garca', 'Eli Wallach', 'Joe Mantegna', 'Bridget Fonda', 'George Hamilton', 'Sofia Coppola']",136766062
1990,Memphis Belle,23000000 (estimated),"['Michael Caton-Jones', 'Matthew Modine', 'Eric Stoltz', 'Tate Donovan', 'D. B. Sweeney', 'Billy Zane', 'Sean Astin', 'Harry Connick Jr.', 'Reed Diamond', 'Courtney Gains', 'Neil Giuntoli', 'David Strathairn', 'John Lithgow', 'Jane Horrocks', 'Mac McDonald']",27441977 (USA)
1990,Marked for Death,12000000,"['Dwight H. Little', '[1]', 'Steven Seagal', 'Basil Wallace', 'Keith David', 'Tom Wright', 'Joanna Pacua', 'Elizabeth Gracen', 'Bette Ford']",57968936
1990,Mr. Destiny,20,"['James Orr', 'James Belushi', 'Linda Hamilton', 'Jon Lovitz', 'Hart Bochner', 'Michael Caine']",15379253
