Movie_Name,Contributors,Budget,Revenue
Wanderlust,"['David Wain', 'Paul Rudd', 'Jennifer Aniston', 'Justin Theroux', 'Joe Lo Truglio', 'Kathryn Hahn', 'Lauren Ambrose', 'Alan Alda', 'Malin kerman']",35,4650615 (US DVD sales) 
Head Games,[],0,0
Ice Age: Continental Drift,"['Steve Martino', 'Mike Thurmeier', 'Ray Romano', 'John Leguizamo', 'Denis Leary', 'Nicki Minaj', 'Drake', 'Jennifer Lopez', 'Queen Latifah']",95,877244782
Playing for Keeps,"['Gabriele Muccino', 'Gerard Butler', 'Jessica Biel', 'Catherine Zeta-Jones', 'Dennis Quaid', 'Uma Thurman', 'Judy Greer']",35,24086455
Ghost Rider: Spirit of Vengeance,"['Neveldine/Taylor', 'Nicolas Cage', 'Ciarn Hinds', 'Violante Placido', 'Johnny Whitworth', 'Christopher Lambert', 'Idris Elba']",57,132563930
Moonrise Kingdom,"['Wes Anderson', 'Roman Coppola', 'Bruce Willis', 'Edward Norton', 'Bill Murray', 'Frances McDormand', 'Tilda Swinton', 'Jason Schwartzman', 'Bob Balaban']",16,68263166
Life of Pi,"['Ang Lee', 'Suraj Sharma', 'Irrfan Khan', 'Rafe Spall', 'Tabu', 'Adil Hussain', 'Grard Depardieu']",120,609016565
Jesus Henry Christ,[],0,0
The Cold Light of Day,[],0,0
Men in Black 3,"['Barry Sonnenfeld', 'Etan Cohen', 'Will Smith', 'Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Jemaine Clement', 'Michael Stuhlbarg', 'Emma Thompson']",215,624026776
Snow White and the Huntsman,"['Rupert Sanders', 'Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth']",170,396592829
To Rome with Love,"['Woody Allen', 'Alec Baldwin', 'Roberto Benigni', 'Penlope Cruz', 'Judy Davis', 'Jesse Eisenberg', 'Greta Gerwig', 'Ellen Page']",0,73244881
This Is 40,"['Judd Apatow', 'Paul Rudd', 'Leslie Mann', 'John Lithgow', 'Megan Fox', 'Albert Brooks']",35,88058786
The Possession,"['Ole Bornedal', '[1]', 'Natasha Calis', 'Jeffrey Dean Morgan', 'Kyra Sedgwick', 'Grant Show', 'Madison Davenport', 'Matisyahu']",14,78515363
Darling Companion,"['Lawrence Kasdan', 'Mark Duplass', 'Richard Jenkins', 'Diane Keaton', 'Kevin Kline', 'Elisabeth Moss', 'Sam Shepard', 'Dianne Wiest', 'Ayelet Zurer']",12,793815
To the Wonder,"['Terrence Malick', 'Ben Affleck', 'Olga Kurylenko', 'Rachel McAdams', 'Javier Bardem']",0,2783139
Frances Ha,"['Noah Baumbach', 'Greta Gerwig', 'Greta Gerwig', 'Mickey Sumner']",0,8840914
Madea's Witness Protection,"['Tyler Perry', 'Eugene Levy', 'Denise Richards', 'Romeo Miller', 'Doris Roberts']",20,66899242
The Three Stooges,"['Peter Farrelly\nBobby Farrelly', 'Mike Cerrone', 'Sean Hayes', 'Will Sasso', 'Chris Diamantopoulos', 'Sofia Vergara', 'Craig Bierko', 'Larry David', 'Jane Lynch']",30,54819301
Keyhole,"['Guy Maddin', 'Jason Patric', 'Isabella Rossellini', 'Udo Kier', 'Kevin McDonald', 'Brooke Palsson']",0,0
Argo,"['Ben Affleck', 'Bryan Cranston', 'Alan Arkin', 'John Goodman']",44.5,232325503
Man on a Ledge,"['Pablo Fenjves', 'Sam Worthington', 'Elizabeth Banks', 'Jamie Bell', 'Edward Burns', 'Anthony Mackie', 'Gnesis Rodrguez', 'Titus Welliver', 'Kyra Sedgwick', 'William Sadler', 'Ed Harris']",42,46221189
The Watch,"['Akiva Schaffer', 'Seth Rogen', 'Evan Goldberg', 'Ben Stiller', 'Vince Vaughn', 'Jonah Hill', 'Richard Ayoade', 'Rosemarie DeWitt']",68,68.3
Hello Herman,"['Michelle Danner', 'John Buffalo Mailer', 'Norman Reedus', 'Garrett Backstrom', 'Martha Higareda']",2,8437
Safety Not Guaranteed,"['Colin Trevorrow', 'Derek Connolly', 'Aubrey Plaza', 'Mark Duplass', 'Jake Johnson']",750000,4424699
Magic Mike,"['Steven Soderbergh', 'Channing Tatum', 'Alex Pettyfer', 'Cody Horn', 'Matt Bomer', 'Olivia Munn', 'Joe Manganiello', 'Matthew McConaughey']",7,167221571
The Queen of Versailles,"['Lauren Greenfield', 'David A. Siegel']",0,2401999
Trouble with the Curve,"['Robert Lorenz', 'Amy Adams', 'Justin Timberlake', 'Matthew Lillard', 'John Goodman']",60000000,48963137
Compliance,"['Craig Zobel', 'Ann Dowd', 'Dreama Walker', 'Pat Healy']",0,319285
A Royal Affair,"['Nikolaj Arcel', 'Mads Mikkelsen', 'Alicia Vikander', 'Mikkel Flsgaard']",0,7594693
The Lucky One,[],0,0
The Dark Knight Rises,"['Christopher Nolan', 'Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman']",230,1084439099
Hitchcock,"['Sacha Gervasi', 'Anthony Hopkins', 'Helen Mirren', 'Scarlett Johansson', 'Toni Collette', 'Danny Huston', 'Jessica Biel', ""James D'Arcy"", 'Michael Wincott']",0,27586114
Lockout,"['Guy Pearce', 'Maggie Grace', 'Vincent Regan', 'Joseph Gilgun', 'Lennie James', 'Peter Stormare']",20,32204030
Ai Weiwei: Never Sorry,['Alison Klayman'],0,0
Smashed,"['James Ponsoldt', 'Susan Burke', 'Mary Elizabeth Winstead', 'Aaron Paul', 'Octavia Spencer', 'Nick Offerman', 'Megan Mullally']",500000,499725
Arbitrage,"['Nicholas Jarecki', 'Richard Gere', 'Susan Sarandon', 'Tim Roth', 'Brit Marling', 'Laetitia Casta', 'Nate Parker']",12,51719574 incl. VOD
Paranormal Activity 4,"['Henry Joost', 'Ariel Schulman', 'Kathryn Newton', 'Matt Shively', 'Stephen Dunham', 'Alexondra Lee', 'Katie Featherston']",5,140706358
Quartet,[],0,0
Seven Psychopaths,"['Martin McDonagh', 'Colin Farrell', 'Sam Rockwell', 'Woody Harrelson', 'Christopher Walken']",15,23.4
Brave,"['Mark Andrews', 'Brenda Chapman', 'Kelly Macdonald', 'Billy Connolly', 'Emma Thompson', 'Julie Walters', 'Robbie Coltrane', 'Kevin McKidd', 'Craig Ferguson']",185,539
Thanks for Sharing,"['Stuart Blumberg', 'Mark Ruffalo', 'Tim Robbins', 'Gwyneth Paltrow', 'Josh Gad', 'Joely Richardson', 'Alecia Moore']",0,1065881
Parental Guidance,"['Andy Fickman', 'Billy Crystal', 'Bette Midler', 'Marisa Tomei', 'Tom Everett Scott', 'Bailee Madison', 'Kyle Harrison Breitkopf', 'Joshua Rush']",25,119772232
