year,Movie_Name,Budget,Contributors,Revenue
1990,Tales from the Darkside: The Movie,3500000,"John Harrison, Deborah Harry, Christian Slater, David Johansen, William Hickey, James Remar, Rae Dawn Chong",16324573
1990,Tremors,11000000.0,"Ron Underwood, Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire",48572000
1990,Gremlins 2: The New Batch,50000000.0,"Joe Dante, Charles S. Haas, Zach Galligan, Phoebe Cates, John Glover, Robert Prosky, Robert Picardo, Christopher Lee",41482207
1990,Blood Oath,10000000.0,"Stephen Wallace, Denis Whitburn, Brian A. Williams, Bryan Brown, George Takei, ""Terry OQuinn""",707194
1990,Loose Cannons,15000000.0,"Bob Clark, Richard Christian Matheson, Richard Matheson, Gene Hackman, Dan Aykroyd, Dom DeLuise, Ronny Cox, Nancy Travis, Paul Koslo, ""Dick ONeill"", Robert Prosky, Jan Triska, Leon Rippy",5585154
1990,"Welcome Home, Roxy Carmichael",13000000.0,"Jim Abrahams, Winona Ryder, Jeff Daniels",3989297
1990,RoboCop 2,35000000.0,"Irvin Kershner, Peter Weller, Nancy Allen, ""Dan OHerlihy"", Belinda Bauer, Tom Noonan, Gabriel Damon",45681173
1990,Graveyard Shift,10500000.0,"David Andrews, Stephen Macht, Brad Dourif",11582891
1990,The Handmaid's Tale,13000000,"Volker Schlndorff, Margaret Atwood, Harold Pinter, Natasha Richardson, Faye Dunaway, Robert Duvall, Aidan Quinn, Elizabeth McGovern",4960385
1990,Kindergarten Cop,15000000.0,"Ivan Reitman, Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt, Carroll Baker",201957688
1990,Mo' Better Blues,10000000.0,"Spike Lee, Denzel Washington, Wesley Snipes, Giancarlo Esposito, Robin Harris, Joie Lee, Bill Nunn, John Turturro, Dick Anthony Williams, Cynda Williams",16153600
1990,Darkman,16000000.0,"Sam Raimi, Liam Neeson, Frances McDorm,, Colin Friels, Larry Drake",48878502
1990,Havana,40000000.0,"Sydney Pollack, Judith Rascoe, David Rayfiel, Robert Redford, Lena Olin, Ral Juli, Alan Arkin",9243140
1990,Where the Heart Is,22000000.0,"John Boorman, Dabney Coleman, Suzy Amis, Uma Thurman, Crispin Glover, Joanna Cassidy, Christopher Plummer, David Hewlett",1106475
1990,Flatliners,26000000.0,"Joel Schumacher, Kiefer Sutherl,, Julia Roberts, William Baldwin, Oliver Platt, Kevin Bacon",141181969
1990,Miller's Crossing,14000000.0,"Joel Coen,Ethan Coen, Gabriel Byrne, Marcia Gay Harden, John Turturro, Jon Polito, J. E. Freeman, Albert Finney",5080409
1990,The First Power,10000000,"Robert Resnikoff, Lou Diamond Phillips, Jeff Kober, Mykelti Williamson, Tracy Griffith, Dennis Lipscomb, Carmen Argenziano, Clayton L,ey",22424195
1990,Almost an Angel,10500000.0,"John Cornell, Paul Hogan, Paul Hogan, Elias Koteas, Linda Kozlowski",6939946
1990,"After Dark, My Sweet",6000000.0,"James Foley, Jason Patric, Rachel Ward, Bruce Dern",2678414
1990,Jacob's Ladder,25000000.0,"Adrian Lyne, Tim Robbins, Elizabeth Pea, Danny Aiello, Matt Craven",26118851
1990,Total Recall,55000000.0,"Paul Verhoeven, Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox",261300000.0
1990,Wild at Heart,10000000.0,"David Lynch, Nicolas Cage, Laura Dern, Willem Dafoe, Crispin Glover, Diane Ladd, Isabella Rossellini, Harry Dean Stanton",14560247
1990,The Godfather Part III,54000000.0,"Francis Ford Coppola, Mario Puzo, Al Pacino, Diane Keaton, Talia Shire, Andy Garca, Eli Wallach, Joe Mantegna, Bridget Fonda, George Hamilton, Sofia Coppola",136766062
1990,Memphis Belle,23000000,"Michael Caton-Jones, Matthew Modine, Eric Stoltz, Tate Donovan, D. B. Sweeney, Billy Zane, Sean Astin, Harry Connick Jr., Reed Diamond, Courtney Gains, Neil Giuntoli, David Strathairn, John Lithgow, Jane Horrocks, Mac McDonald",27441977
1990,Marked for Death,12000000,"Dwight H. Little, Steven Seagal, Basil Wallace, Keith David, Tom Wright, Joanna Pacua, Elizabeth Gracen, Bette Ford",57968936
1990,Mr. Destiny,20000000.0,"James Orr, James Belushi, Linda Hamilton, Jon Lovitz, Hart Bochner, Michael Caine",15379253
1990,Arachnophobia,31000000.0,"Frank Marshall, Jeff Daniels, Julian S,s, Harley Jane Kozak, John Goodman",53208180
1990,Opportunity Knocks,13000000.0,"Donald Petrie, Mitchel Katlin, Nat Bernstein, Dana Carvey, Robert Loggia, Todd Graff, Julia Campbell, James Tolkan",11359129
