Movie_Name,Contributors,Budget,Revenue
Iron Man,"['Jon Favreau', 'Robert Downey, Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']",140,585.1
Deception,"['Mark Bomback', 'Ewan McGregor', 'Michelle Williams']",25,17741298
Che,"['Steven Soderbergh', 'Peter Buchman', 'Benicio del Toro']",58,40943131
Yes Man,"['Peyton Reed', 'Jim Carrey', 'Zooey Deschanel', 'Bradley Cooper', 'John Michael Higgins', 'Terence Stamp']",70,225990976
Swing Vote,"['Joshua Michael Stern', 'Paula Patton', 'Kelsey Grammer', 'Dennis Hopper', 'Nathan Lane', 'Stanley Tucci', 'George Lopez', 'Madeline Carroll']",21,17.6
Stop-Loss,[],0,0
Superhero Movie,"['Craig Mazin', 'Drake Bell', 'Sara Paxton', 'Christopher McDonald', 'Kevin Hart', 'Brent Spiner', 'Jeffrey Tambor', 'Robert Joy', 'Regina Hall', 'Pamela Anderson', 'Leslie Nielsen']",35,71237351
Lakeview Terrace,"['Neil LaBute', 'Samuel L. Jackson', 'Patrick Wilson', 'Kerry Washington']",20,44653637 
Doubt,"['John Patrick Shanley', 'Meryl Streep', 'Philip Seymour Hoffman', 'Amy Adams', 'Viola Davis']",20,50907234
Wild Child,"['Nick Moore', 'Lucy Dahl', 'Emma Roberts', 'Alex Pettyfer', 'Natasha Richardson', 'Linzey Cocker', 'Aidan Quinn', 'Shirley Henderson']",20,21972336
Space Chimps,"['Kirk DeMicco', 'Kirk DeMicco', 'Andy Samberg', 'Cheryl Hines', 'Jeff Daniels', 'Patrick Warburton', 'Kristin Chenoweth', 'Zack Shada', 'Carlos Alazraqui']",37,63834964
Made of Honor,"['Paul Weiland', 'Patrick Dempsey', 'Michelle Monaghan', 'Kevin McKidd', 'Kathleen Quinlan', 'Sydney Pollack', 'Chris Messina']",40,105962760
21,"['Robert Luketic', 'Peter Steinfeld', 'Allan Loeb', 'Jim Sturgess', 'Kate Bosworth', 'Laurence Fishburne', 'Kevin Spacey']",35,157927340
The Incredible Hulk,"['Louis Leterrier', 'Edward Norton', 'Liv Tyler', 'Tim Roth', 'Tim Blake Nelson', 'Ty Burrell', 'William Hurt']",150,263.4
Miracle at St. Anna,"['Spike Lee', 'Derek Luke', 'Michael Ealy', 'Laz Alonso', 'Omar Benson Miller', 'Pierfrancesco Favino', 'Valentina Cervi']",45,9.3
Welcome Home Roscoe Jenkins,"['Malcolm D. Lee', 'Martin Lawrence', 'Margaret Avery', 'Joy Bryant', 'Louis C.K.', 'Michael Clarke Duncan', 'Mike Epps', ""Mo'Nique Hicks"", 'Nicole Ari Parker', 'Cedric the Entertainer', 'James Earl Jones']",35,43650785
The Longshots,"['Fred Durst', 'Ice Cube', 'Keke Palmer', 'Tasha Smith', 'Jill Marie Jones', 'Dash Mihok', 'Debby Ryan']",23,11767866
Religulous,['Larry Charles'],2500000,13136074
The Forbidden Kingdom,"['Rob Minkoff', 'Jackie Chan', 'Jet Li', 'Collin Chou', 'Liu Yifei', 'Li Bingbing', 'Michael Angarano']",55,127906624 
Speed Racer,"['The Wachowskis', 'Emile Hirsch', 'Christina Ricci', 'John Goodman', 'Susan Sarandon', 'Matthew Fox', 'Benno Frmann', 'Hiroyuki Sanada', 'Rain', 'Richard Roundtree']",120,94
Horton Hears a Who!,[],0,0
Defiance,"['Edward Zwick', 'Daniel Craig', 'Liev Schreiber', 'Jamie Bell', 'George MacKay']",50,56462926
High School Musical 3: Senior Year,"['Kenny Ortega', 'Peter Barsocchini', 'Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu', 'Monique Coleman']",11,252.9
Expelled: No Intelligence Allowed,"['Kevin Miller', 'Ben Stein']",3.5,7.7
Meet Dave,"['Brian Robbins', 'Rob Greenberg', 'Bill Corbett', 'Eddie Murphy', 'Elizabeth Banks', 'Gabrielle Union', 'Ed Helms', 'Scott Caan', 'Kevin Hart']",60,50650079
What Happens in Vegas,"['Tom Vaughan', 'Dana Fox', 'Ashton Kutcher', 'Cameron Diaz', 'Rob Corddry', 'Dennis Farina', 'Lake Bell', 'Queen Latifah']",35,219375798
The Women,"['Diane English', 'Meg Ryan', 'Annette Bening', 'Eva Mendes', 'Debra Messing', 'Jada Pinkett Smith', 'Candice Bergen', 'Cloris Leachman', 'Bette Midler', 'Carrie Fisher', 'Debi Mazar', 'Keegan Connor Tracy', 'Ana Gasteyer', 'Jill Flint', 'Lynn Whitfield', 'Joanna Gleason', 'India Ennenga']",16,50007546
Hancock,"['Peter Berg', 'Vince Gilligan', 'Charlize Theron', 'Jason Bateman', 'Eddie Marsan']",150,624386746
First Sunday,"['David E. Talbert', 'Tracy Morgan', 'Katt Williams']",0,38608838
The Rocker,"['Peter Cattaneo', 'Rainn Wilson', 'Christina Applegate', 'Teddy Geiger', 'Josh Gad', 'Emma Stone', 'Jane Lynch']",15,8767338
Goal! 2: Living the Dream,[],0,0
Nick and Norah's Infinite Playlist,"['Peter Sollett', 'Michael Cera', 'Kat Dennings', 'Alexis Dziena', 'Ari Graynor', 'Aaron Yoo', 'Jay Baruchel']",10,33506137
Smart People,"['Noam Murro', 'Mark Poirier', 'Dennis Quaid', 'Sarah Jessica Parker', 'Thomas Haden Church', 'Ellen Page', 'Ashton Holmes', 'Christine Lahti']",0,11839695
"Definitely, Maybe","['Adam Brooks', 'Ryan Reynolds', 'Isla Fisher', 'Abigail Breslin', 'Elizabeth Banks', 'Rachel Weisz']",7000000,55447968
Revolutionary Road,"['Sam Mendes', 'Leonardo DiCaprio', 'Kate Winslet', 'Michael Shannon', 'Kathryn Hahn', 'David Harbour', 'Kathy Bates', 'Ty Simpkins']",35,75.2
City of Ember,"['Gil Kenan', 'Caroline Thompson', 'Saoirse Ronan', 'Harry Treadaway', 'Bill Murray', 'Mackenzie Crook', 'Martin Landau', 'Mary Kay Place', 'Toby Jones', 'Tim Robbins']",55,17929684
Step Brothers,"['Adam McKay', 'Richard Jenkins', 'Mary Steenburgen', 'Adam Scott', 'Kathryn Hahn']",65,128107642
W.,"['Oliver Stone', 'Stanley Weiser', 'Josh Brolin', 'Elizabeth Banks', 'James Cromwell', 'Ellen Burstyn', 'Richard Dreyfuss', 'Toby Jones', 'Thandie Newton', 'Jeffrey Wright', 'Scott Glenn', 'Bruce McGill', 'Jennifer Sipes', 'Noah Wyle', 'Ioan Gruffudd']",25.1,29506464
Nights in Rodanthe,"['George C. Wolfe', 'Novel', 'Nicholas Sparks', 'Richard Gere', 'Diane Lane']",0,84375061 
Punisher: War Zone,"['Lexi Alexander', 'Nick Santora', 'Ray Stevenson', 'Dominic West', 'Julie Benz', 'Colin Salmon', 'Doug Hutchison', 'Dash Mihok', 'Wayne Knight']",35,10100036
Penelope,"['Mark Palansky', 'Leslie Caveny', 'Christina Ricci', 'James McAvoy', ""Catherine O'Hara"", 'Peter Dinklage', 'Richard E. Grant', 'Reese Witherspoon']",15,21156270
Boy A,"['John Crowley', ""Mark O'Rowe"", 'Jonathan Trigell', 'Andrew Garfield', 'Katie Lyons', 'Peter Mullan']",0,"Box office765,577[2]"
Milk,"['Gus Van Sant', 'Dustin Lance Black', 'Sean Penn', 'Emile Hirsch', 'Josh Brolin', 'Diego Luna', 'James Franco']",20,54586584
Death Race,[],0,0
Slumdog Millionaire,"['Danny Boyle', 'Dev Patel', 'Freida Pinto', 'Madhur Mittal', 'Anil Kapoor', 'Irrfan Khan']",15,377.9
The Mummy: Tomb of the Dragon Emperor,"['Rob Cohen', 'Alfred Gough', 'Miles Millar', 'Brendan Fraser', 'Jet Li', 'Maria Bello', 'John Hannah', 'Russell Wong', 'Liam Cunningham', 'Luke Ford', 'Isabella Leong', 'Michelle Yeoh']",145,401128639
Mad Money,"['Callie Khouri', 'Diane Keaton', 'Queen Latifah', 'Katie Holmes', 'Ted Danson']",22,26412163
Doomsday,"['Neil Marshall', 'Rhona Mitra', 'Bob Hoskins', 'Adrian Lester', 'Alexander Siddig', ""David O'Hara"", 'Malcolm McDowell']",Budget17,22211426 (worldwide)1034659
The Bank Job,[],0,0
Cloverfield,"['Matt Reeves', 'Drew Goddard', 'Lizzy Caplan', 'Jessica Lucas', 'T. J. Miller', 'Michael Stahl-David', 'Mike Vogel', 'Odette Yustman']",25,170764026
WALL-E,"['Andrew Stanton', 'Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver', 'MacInTalk']",180,521311860
Transporter 3,"['Olivier Megaton', 'Luc Besson', 'Robert Mark Kamen', 'Jason Statham', 'Franois Berland', 'Robert Knepper']",30,108979549
The Secret Life of Bees,"['Gina Prince-Bythewood', 'Queen Latifah', 'Dakota Fanning', 'Jennifer Hudson', 'Alicia Keys', 'Sophie Okonedo', 'Paul Bettany']",11,39947322
