Movie_Name,Movie_Link
Firestorm,/wiki/Firestorm_(1998_film)
Wag the Dog,/wiki/Wag_the_Dog
Fallen,/wiki/Fallen_(1998_film)
Half Baked,/wiki/Half_Baked
Hard Rain,/wiki/Hard_Rain_(film)
Spice World,/wiki/Spice_World_(film)
Phantoms,/wiki/Phantoms_(film)
Slappy and the Stinkers,/wiki/Slappy_and_the_Stinkers
Desperate Measures,/wiki/Desperate_Measures_(film)
Deep Rising,/wiki/Deep_Rising
Great Expectations,/wiki/Great_Expectations_(1998_film)
Blues Brothers 2000,/wiki/Blues_Brothers_2000
The Replacement Killers,/wiki/The_Replacement_Killers
Sphere,/wiki/Sphere_(1998_film)
The Wedding Singer,/wiki/The_Wedding_Singer
Senseless,/wiki/Senseless
Palmetto,/wiki/Palmetto_(film)
Caught Up,/wiki/Caught_Up_(film)
Dark City,/wiki/Dark_City_(1998_film)
Krippendorf's Tribe,/wiki/Krippendorf%27s_Tribe
Kissing a Fool,/wiki/Kissing_a_Fool
Twilight,/wiki/Twilight_(1998_film)
The Big Lebowski,/wiki/The_Big_Lebowski
Hush,/wiki/Hush_(1998_film)
U.S. Marshals,/wiki/U.S._Marshals_(film)
The Man in the Iron Mask,/wiki/The_Man_in_the_Iron_Mask_(1998_film)
Chairman of the Board,/wiki/Chairman_of_the_Board_(film)
Primary Colors,/wiki/Primary_Colors_(film)
Wild Things,/wiki/Wild_Things
The Newton Boys,/wiki/The_Newton_Boys
Ride,/wiki/Ride_(1998_film)
Meet the Deedles,/wiki/Meet_the_Deedles
Lost in Space,/wiki/Lost_in_Space_(film)
Mercury Rising,/wiki/Mercury_Rising
Barney's Great Adventure,/wiki/Barney%27s_Great_Adventure
City of Angels,/wiki/City_of_Angels_(film)
My Giant,/wiki/My_Giant
The Odd Couple II,/wiki/The_Odd_Couple_II
Species II,/wiki/Species_II
3 Ninjas: High Noon at Mega Mountain,/wiki/3_Ninjas:_High_Noon_at_Mega_Mountain
Major League: Back to the Minors,/wiki/Major_League:_Back_to_the_Minors
The Object of My Affection,/wiki/The_Object_of_My_Affection
Paulie,/wiki/Paulie
Nightwatch,/wiki/Nightwatch_(1997_film)
The Big Hit,/wiki/The_Big_Hit
Tarzan and the Lost City,/wiki/Tarzan_and_the_Lost_City_(film)
Sliding Doors,/wiki/Sliding_Doors
Black Dog,/wiki/Black_Dog_(film)
He Got Game,/wiki/He_Got_Game
Les Misrables,/wiki/Les_Mis%C3%A9rables_(1998_film)
Deep Impact,/wiki/Deep_Impact_(film)
Bulworth,/wiki/Bulworth
The Horse Whisperer,/wiki/The_Horse_Whisperer_(film)
Quest for Camelot,/wiki/Quest_for_Camelot
Fear and Loathing in Las Vegas,/wiki/Fear_and_Loathing_in_Las_Vegas_(film)
Godzilla,/wiki/Godzilla_(1998_film)
Curse of the Puppet Master,/wiki/Curse_of_the_Puppet_Master
Almost Heroes,/wiki/Almost_Heroes
Hope Floats,/wiki/Hope_Floats
A Perfect Murder,/wiki/A_Perfect_Murder
The Truman Show,/wiki/The_Truman_Show
Can't Hardly Wait,/wiki/Can%27t_Hardly_Wait
Cousin Bette,/wiki/Cousin_Bette_(film)
Dirty Work,/wiki/Dirty_Work_(1998_film)
Six Days Seven Nights,/wiki/Six_Days_Seven_Nights
Mulan,/wiki/Mulan_(1998_film)
The X-Files,/wiki/The_X-Files_(film)
Children of the Corn V: Fields of Terror,/wiki/Children_of_the_Corn_V:_Fields_of_Terror
Dr. Dolittle,/wiki/Dr._Dolittle_(film)
Out of Sight,/wiki/Out_of_Sight_(1998_film)
Smoke Signals,/wiki/Smoke_Signals_(film)
Armageddon,/wiki/Armageddon_(1998_film)
Lethal Weapon 4,/wiki/Lethal_Weapon_4
Small Soldiers,/wiki/Small_Soldiers
Madeline,/wiki/Madeline_(1998_film)
The Mask of Zorro,/wiki/The_Mask_of_Zorro
There's Something About Mary,/wiki/There%27s_Something_About_Mary
Disturbing Behavior,/wiki/Disturbing_Behavior
Mafia!,/wiki/Mafia!
Saving Private Ryan,/wiki/Saving_Private_Ryan
BASEketball,/wiki/BASEketball
Ever After,/wiki/Ever_After
The Negotiator,/wiki/The_Negotiator
The Parent Trap,/wiki/The_Parent_Trap_(1998_film)
Halloween H20: 20 Years Later,/wiki/Halloween_H20:_20_Years_Later
Snake Eyes,/wiki/Snake_Eyes_(film)
Air Bud: Golden Receiver,/wiki/Air_Bud:_Golden_Receiver
The Avengers,/wiki/The_Avengers_(1998_film)
How Stella Got Her Groove Back,/wiki/How_Stella_Got_Her_Groove_Back
Return to Paradise,/wiki/Return_to_Paradise_(1998_film)
Blade,/wiki/Blade_(film)
Dance with Me,/wiki/Dance_with_Me_(film)
Dead Man on Campus,/wiki/Dead_Man_on_Campus
Wrongfully Accused,/wiki/Wrongfully_Accused
54,/wiki/54_(film)
Why Do Fools Fall in Love,/wiki/Why_Do_Fools_Fall_in_Love_(film)
Knock Off,/wiki/Knock_Off_(film)
Rounders,/wiki/Rounders
Simon Birch,/wiki/Simon_Birch
One True Thing,/wiki/One_True_Thing
Rush Hour,/wiki/Rush_Hour_(1998_film)
Urban Legend,/wiki/Urban_Legend_(film)
Ronin,/wiki/Ronin_(film)
Clay Pigeons,/wiki/Clay_Pigeons
Antz,/wiki/Antz
A Night at the Roxbury,/wiki/A_Night_at_the_Roxbury
What Dreams May Come,/wiki/What_Dreams_May_Come_(film)
Holy Man,/wiki/Holy_Man
Beloved,/wiki/Beloved_(film)
Bride of Chucky,/wiki/Bride_of_Chucky
Practical Magic,/wiki/Practical_Magic
I Got the Hook Up,/wiki/I_Got_the_Hook_Up
Apt Pupil,/wiki/Apt_Pupil
Life is Beautiful,/wiki/Life_is_Beautiful
Pleasantville,/wiki/Pleasantville_(film)
Soldier,/wiki/Soldier_(1998_American_film)
American History X,/wiki/American_History_X
Vampires,/wiki/John_Carpenter%27s_Vampires
Elizabeth,/wiki/Elizabeth_(film)
Gods and Monsters,/wiki/Gods_and_Monsters_(film)
The Siege,/wiki/The_Siege
The Waterboy,/wiki/The_Waterboy
I Still Know What You Did Last Summer,/wiki/I_Still_Know_What_You_Did_Last_Summer
I'll Be Home for Christmas,/wiki/I%27ll_Be_Home_for_Christmas_(1998_film)
Meet Joe Black,/wiki/Meet_Joe_Black
Belly,/wiki/Belly_(film)
Enemy of the State,/wiki/Enemy_of_the_State_(film)
The Rugrats Movie,/wiki/The_Rugrats_Movie
Waking Ned Devine,/wiki/Waking_Ned_Devine
A Bug's Life,/wiki/A_Bug%27s_Life
Babe: Pig in the City,/wiki/Babe:_Pig_in_the_City
Very Bad Things,/wiki/Very_Bad_Things
Home Fries,/wiki/Home_Fries_(film)
Ringmaster,/wiki/Ringmaster_(film)
Psycho,/wiki/Psycho_(1998_film)
Little Voice,/wiki/Little_Voice_(film)
Jack Frost,/wiki/Jack_Frost_(1998_film)
Star Trek: Insurrection,/wiki/Star_Trek:_Insurrection
Shakespeare in Love,/wiki/Shakespeare_in_Love
A Simple Plan,/wiki/A_Simple_Plan_(film)
Gunslinger's Revenge,/wiki/Gunslinger%27s_Revenge
Playing by Heart,/wiki/Playing_by_Heart
The Prince of Egypt,/wiki/The_Prince_of_Egypt
You've Got Mail,/wiki/You%27ve_Got_Mail
Patch Adams,/wiki/Patch_Adams_(film)
Mighty Joe Young,/wiki/Mighty_Joe_Young_(1998_film)
Stepmom,/wiki/Stepmom_(film)
The Faculty,/wiki/The_Faculty
A Civil Action,/wiki/A_Civil_Action
The Thin Red Line,/wiki/The_Thin_Red_Line_(1998_film)
Affliction,/wiki/Affliction_(film)
The Hi-Lo Country,/wiki/The_Hi-Lo_Country
Another Day in Paradise,/wiki/Another_Day_in_Paradise_(film)
