movie_name,movie_link
Wanderlust,/wiki/Wanderlust_(2012_film)
Head Games,/wiki/Head_Games_(film)
Ice Age: Continental Drift,/wiki/Ice_Age:_Continental_Drift
Playing for Keeps,/wiki/Playing_for_Keeps_(2012_film)
Ghost Rider: Spirit of Vengeance,/wiki/Ghost_Rider:_Spirit_of_Vengeance
Moonrise Kingdom,/wiki/Moonrise_Kingdom
Life of Pi,/wiki/Life_of_Pi_(film)
Jesus Henry Christ,/wiki/Jesus_Henry_Christ
The Cold Light of Day,/wiki/The_Cold_Light_of_Day_(2012_film)
Men in Black 3,/wiki/Men_in_Black_3
Shut Up and Play the Hits,/wiki/Shut_Up_and_Play_the_Hits
Nema Aviona Za Zagreb,/wiki/Nema_Aviona_Za_Zagreb
The Possession,/wiki/The_Possession
Darling Companion,/wiki/Darling_Companion
Anna Karenina,/wiki/Anna_Karenina_(2012_film)
To the Wonder,/wiki/To_the_Wonder
Frances Ha,/wiki/Frances_Ha
Madea's Witness Protection,/wiki/Madea%27s_Witness_Protection
The Hobbit: An Unexpected Journey,/wiki/The_Hobbit:_An_Unexpected_Journey
The Three Stooges,/wiki/The_Three_Stooges_(2012_film)
Keyhole,/wiki/Keyhole_(film)
Argo,/wiki/Argo_(2012_film)
Man on a Ledge,/wiki/Man_on_a_Ledge
The Watch,/wiki/The_Watch_(2012_film)
Hello Herman,/wiki/Hello_Herman
Safety Not Guaranteed,/wiki/Safety_Not_Guaranteed
Magic Mike,/wiki/Magic_Mike
The Queen of Versailles,/wiki/The_Queen_of_Versailles
Trouble with the Curve,/wiki/Trouble_with_the_Curve
The Words,/wiki/The_Words_(film)
A Royal Affair,/wiki/A_Royal_Affair
The Lucky One,/wiki/The_Lucky_One_(film)
The Dark Knight Rises,/wiki/The_Dark_Knight_Rises
Lockout,/wiki/Lockout_(film)
Ai Weiwei: Never Sorry,/wiki/Ai_Weiwei:_Never_Sorry
Smashed,/wiki/Smashed_(film)
Hit and Run,/wiki/Hit_and_Run_(2012_film)
Paranormal Activity 4,/wiki/Paranormal_Activity_4
Quartet,/wiki/Quartet_(2012_film)
The Twilight Saga: Breaking Dawn  Part 2,/wiki/The_Twilight_Saga:_Breaking_Dawn_%E2%80%93_Part_2
Seven Psychopaths,/wiki/Seven_Psychopaths
Brave,/wiki/Brave_(2012_film)
Arbitrage,/wiki/Arbitrage_(film)
Parental Guidance,/wiki/Parental_Guidance_(film)
Dino Time,/wiki/Dino_Time
The Hunger Games,/wiki/The_Hunger_Games_(film)
Battleship,/wiki/Battleship_(film)
Rust and Bone,/wiki/Rust_and_Bone
Fun Size,/wiki/Fun_Size
Robot & Frank,/wiki/Robot_%26_Frank
Searching for Sugar Man,/wiki/Searching_for_Sugar_Man
Being Flynn,/wiki/Being_Flynn
The Cabin in the Woods,/wiki/The_Cabin_in_the_Woods
The Collection,/wiki/The_Collection_(film)
The Paperboy,/wiki/The_Paperboy_(2012_film)
The Sessions,/wiki/The_Sessions_(film)
Antiviral,/wiki/Antiviral_(film)
Nobody Walks,/wiki/Nobody_Walks
Silver Linings Playbook,/wiki/Silver_Linings_Playbook
John Carter,/wiki/John_Carter_(film)
